f,Vout
1,1.74
10,1.72
100,1.64
150,1.4
170,1.32
200,1.16
220,1.04
230,1
240,0.92
280,0.81
310,0.72
340,0.68
360,0.6
390,0.57
420,0.48
500,0.44
530,0.4
550,0.36
600,0.32
650,0.28
