f,Vout
1,1.76
20,1.68
30,1.6
40,1.44
60,1.28
70,1.12
80,1.04
90,1
100,0.84
110,0.87
150,0.64
170,0.56
180,0.56
200,0.48
220,0.44
240,0.4
260,0.36
280,0.36
300,0.32
350,0.28
400,0.24
