f,Vout
0.1,1.32
1,2.96
80,3
100,3
120,2.84
140,2.76
160,2.68
180,2.64
200,2.56
220,2.44
240,2.36
260,2.28
280,2.2
300,2.12
320,2.08
340,2
360,1.96
380,1.88
400,1.8
420,1.76
440,1.72
500,1.56
600,1.4
700,1.24
800,1.12
900,1.04
1000,0.92
1200,0.8
1400,0.72
1600,0.64
1800,0.6
2000,0.56
2500,0.48
3000,0.4
