f,Vout
1k,0.082
100k,0.08
200k,0.086
400k,0.09
500k,0.092
700k,0.098
1M,0.11
1.1M,0.11
1.5M,0.082
1.7M,0.076
1.8M,0.07
1.9M,0.062
1.95M,0.058
2M,0.056
2.1M,0.05
2.3M,0.042
2.2M,0.044
2.5M,0.036
3M,0.022
3.5M,0.016

